Timestamp,UTC,Callsign,Position,Altitude,Speed,Direction
1634923522,2021-10-22T17:25:22Z,CFAAF,"32.666172,-114.581406",375,128,88
1634923546,2021-10-22T17:25:46Z,CFAAF,"32.670361,-114.565315",775,133,43
1634923555,2021-10-22T17:25:55Z,CFAAF,"32.6754,-114.56263",925,131,11
1634923579,2021-10-22T17:26:19Z,CFAAF,"32.689316,-114.566635",1250,131,340
1634923585,2021-10-22T17:26:25Z,CFAAF,"32.692932,-114.568123",1300,133,340
1634923594,2021-10-22T17:26:34Z,CFAAF,"32.698242,-114.57032",1400,136,340
1634923600,2021-10-22T17:26:40Z,CFAAF,"32.701878,-114.57193",1425,138,339
1634923606,2021-10-22T17:26:46Z,CFAAF,"32.705555,-114.573616",1475,141,338
1634923612,2021-10-22T17:26:52Z,CFAAF,"32.70932,-114.575371",1525,144,337
1634923621,2021-10-22T17:27:01Z,CFAAF,"32.714912,-114.578209",1575,148,336
1634923628,2021-10-22T17:27:08Z,CFAAF,"32.718796,-114.580208",1600,150,336
1634923633,2021-10-22T17:27:13Z,CFAAF,"32.722687,-114.58213",1650,151,337
1634923639,2021-10-22T17:27:19Z,CFAAF,"32.726486,-114.584",1675,152,337
1634923645,2021-10-22T17:27:25Z,CFAAF,"32.730366,-114.585831",1725,152,338
1634923655,2021-10-22T17:27:35Z,CFAAF,"32.736557,-114.588577",1800,152,340
1634923661,2021-10-22T17:27:41Z,CFAAF,"32.740513,-114.590263",1850,150,340
1634923666,2021-10-22T17:27:46Z,CFAAF,"32.744194,-114.591774",1900,150,340
1634923676,2021-10-22T17:27:56Z,CFAAF,"32.750385,-114.594353",2000,149,340
1634923687,2021-10-22T17:28:07Z,CFAAF,"32.758026,-114.597618",2100,149,339
1634923698,2021-10-22T17:28:18Z,CFAAF,"32.764721,-114.600578",2175,149,339
1634923704,2021-10-22T17:28:24Z,CFAAF,"32.769005,-114.602478",2250,149,339
1634923710,2021-10-22T17:28:30Z,CFAAF,"32.772728,-114.604164",2300,148,339
1634923715,2021-10-22T17:28:35Z,CFAAF,"32.776218,-114.605675",2350,148,339
1634923728,2021-10-22T17:28:48Z,CFAAF,"32.784485,-114.609154",2475,146,340
1634923736,2021-10-22T17:28:56Z,CFAAF,"32.789673,-114.611168",2550,146,344
1634923740,2021-10-22T17:29:00Z,CFAAF,"32.791817,-114.611732",2600,145,347
1634923743,2021-10-22T17:29:03Z,CFAAF,"32.793678,-114.612175",2625,145,348
1634923746,2021-10-22T17:29:06Z,CFAAF,"32.795773,-114.612625",2650,145,350
1634923749,2021-10-22T17:29:09Z,CFAAF,"32.797852,-114.612999",2700,144,350
1634923752,2021-10-22T17:29:12Z,CFAAF,"32.79987,-114.613358",2725,144,350
1634923754,2021-10-22T17:29:14Z,CFAAF,"32.801285,-114.613602",2750,144,350
1634923758,2021-10-22T17:29:18Z,CFAAF,"32.80394,-114.613991",2775,144,353
1634923760,2021-10-22T17:29:20Z,CFAAF,"32.805267,-114.614151",2800,144,353
1634923764,2021-10-22T17:29:24Z,CFAAF,"32.807922,-114.614487",2850,143,353
1634923767,2021-10-22T17:29:27Z,CFAAF,"32.809891,-114.614761",2875,143,353
1634923769,2021-10-22T17:29:29Z,CFAAF,"32.811413,-114.614983",2900,142,353
1634923770,2021-10-22T17:29:30Z,CFAAF,"32.811996,-114.615089",2900,142,353
1634923772,2021-10-22T17:29:32Z,CFAAF,"32.813507,-114.615257",2925,143,353
1634923779,2021-10-22T17:29:39Z,CFAAF,"32.817604,-114.615875",2975,144,352
1634923785,2021-10-22T17:29:45Z,CFAAF,"32.821423,-114.61644",3025,144,352
1634923794,2021-10-22T17:29:54Z,CFAAF,"32.828156,-114.617561",3100,145,351
1634923800,2021-10-22T17:30:00Z,CFAAF,"32.831909,-114.618271",3125,145,350
1634923809,2021-10-22T17:30:09Z,CFAAF,"32.837769,-114.619484",3175,147,349
1634923815,2021-10-22T17:30:15Z,CFAAF,"32.841766,-114.620361",3225,147,348
1634923822,2021-10-22T17:30:22Z,CFAAF,"32.846283,-114.62146",3250,148,348
1634923827,2021-10-22T17:30:27Z,CFAAF,"32.849773,-114.622269",3275,150,348
1634923833,2021-10-22T17:30:33Z,CFAAF,"32.854149,-114.623329",3325,151,348
1634923839,2021-10-22T17:30:39Z,CFAAF,"32.858505,-114.624313",3350,152,349
1634923845,2021-10-22T17:30:45Z,CFAAF,"32.862854,-114.625252",3400,152,349
1634923851,2021-10-22T17:30:51Z,CFAAF,"32.866928,-114.625961",3450,153,353
1634923854,2021-10-22T17:30:54Z,CFAAF,"32.868999,-114.62619",3450,153,354
1634923857,2021-10-22T17:30:57Z,CFAAF,"32.871185,-114.62635",3500,153,355
1634923860,2021-10-22T17:31:00Z,CFAAF,"32.873337,-114.626511",3525,153,357
1634923863,2021-10-22T17:31:03Z,CFAAF,"32.875378,-114.62664",3550,152,356
1634923869,2021-10-22T17:31:09Z,CFAAF,"32.879707,-114.627029",3600,151,355
1634923873,2021-10-22T17:31:13Z,CFAAF,"32.881939,-114.627258",3650,150,355
1634923878,2021-10-22T17:31:18Z,CFAAF,"32.886063,-114.62767",3700,150,354
1634923884,2021-10-22T17:31:24Z,CFAAF,"32.890041,-114.628151",3750,150,353
1634923890,2021-10-22T17:31:30Z,CFAAF,"32.894321,-114.628716",3800,150,353
1634923897,2021-10-22T17:31:37Z,CFAAF,"32.898605,-114.629272",3850,150,353
1634923903,2021-10-22T17:31:43Z,CFAAF,"32.902863,-114.629807",3900,150,354
1634923912,2021-10-22T17:31:52Z,CFAAF,"32.909126,-114.630173",3975,151,358
1634923914,2021-10-22T17:31:54Z,CFAAF,"32.910801,-114.630226",3975,151,358
1634923918,2021-10-22T17:31:58Z,CFAAF,"32.913254,-114.630249",4025,151,358
1634923921,2021-10-22T17:32:01Z,CFAAF,"32.915359,-114.630302",4050,151,358
1634923924,2021-10-22T17:32:04Z,CFAAF,"32.917645,-114.630341",4075,150,358
1634923926,2021-10-22T17:32:06Z,CFAAF,"32.91946,-114.630394",4100,150,358
1634923929,2021-10-22T17:32:09Z,CFAAF,"32.921555,-114.630447",4125,150,358
1634923939,2021-10-22T17:32:19Z,CFAAF,"32.928074,-114.630676",4200,150,358
1634923945,2021-10-22T17:32:25Z,CFAAF,"32.932262,-114.630844",4250,150,357
1634923950,2021-10-22T17:32:30Z,CFAAF,"32.936127,-114.631126",4300,150,356
1634923960,2021-10-22T17:32:40Z,CFAAF,"32.942734,-114.631622",4375,150,355
1634923965,2021-10-22T17:32:45Z,CFAAF,"32.946671,-114.632004",4400,150,355
1634923971,2021-10-22T17:32:51Z,CFAAF,"32.950745,-114.632355",4450,150,356
1634923980,2021-10-22T17:33:00Z,CFAAF,"32.957108,-114.632668",4525,150,359
1634923987,2021-10-22T17:33:07Z,CFAAF,"32.961548,-114.632668",4575,150,359
1634923989,2021-10-22T17:33:09Z,CFAAF,"32.963379,-114.632614",4600,149,1
1634923992,2021-10-22T17:33:12Z,CFAAF,"32.965084,-114.632584",4625,149,1
1634923995,2021-10-22T17:33:15Z,CFAAF,"32.967499,-114.632553",4650,148,1
1634924005,2021-10-22T17:33:25Z,CFAAF,"32.97374,-114.632469",4750,147,1
1634924010,2021-10-22T17:33:30Z,CFAAF,"32.977615,-114.632446",4800,147,359
1634924020,2021-10-22T17:33:40Z,CFAAF,"32.983936,-114.632584",4875,147,358
1634924026,2021-10-22T17:33:46Z,CFAAF,"32.988098,-114.632721",4925,147,357
1634924035,2021-10-22T17:33:55Z,CFAAF,"32.994095,-114.633102",4975,148,356
1634924037,2021-10-22T17:33:57Z,CFAAF,"32.995743,-114.633217",5000,148,356
1634924050,2021-10-22T17:34:10Z,CFAAF,"33.004654,-114.633873",5075,150,356
1634924061,2021-10-22T17:34:21Z,CFAAF,"33.01268,-114.634369",5150,151,357
1634924077,2021-10-22T17:34:37Z,CFAAF,"33.023365,-114.634712",5275,151,358
1634924089,2021-10-22T17:34:49Z,CFAAF,"33.031952,-114.63475",5375,150,360
1634924099,2021-10-22T17:34:59Z,CFAAF,"33.039101,-114.634766",5475,149,360
1634924113,2021-10-22T17:35:13Z,CFAAF,"33.048645,-114.63488",5575,149,358
1634924123,2021-10-22T17:35:23Z,CFAAF,"33.055859,-114.635162",5650,150,358
1634924143,2021-10-22T17:35:43Z,CFAAF,"33.069359,-114.635498",5800,150,359
1634924164,2021-10-22T17:36:04Z,CFAAF,"33.084118,-114.635216",6000,148,1
1634924179,2021-10-22T17:36:19Z,CFAAF,"33.094219,-114.63488",6150,147,1
1634924191,2021-10-22T17:36:31Z,CFAAF,"33.10218,-114.634766",6250,149,1
1634924203,2021-10-22T17:36:43Z,CFAAF,"33.110931,-114.634933",6350,151,358
1634924215,2021-10-22T17:36:55Z,CFAAF,"33.119339,-114.635025",6450,153,1
1634924227,2021-10-22T17:37:07Z,CFAAF,"33.127808,-114.634422",6550,152,4
1634924239,2021-10-22T17:37:19Z,CFAAF,"33.136162,-114.633591",6700,151,4
1634924254,2021-10-22T17:37:34Z,CFAAF,"33.14687,-114.63269",6850,150,2
1634924266,2021-10-22T17:37:46Z,CFAAF,"33.155247,-114.632416",6950,151,1
1634924277,2021-10-22T17:37:57Z,CFAAF,"33.162884,-114.632301",7025,153,1
1634924289,2021-10-22T17:38:09Z,CFAAF,"33.171867,-114.632133",7125,154,1
1634924305,2021-10-22T17:38:25Z,CFAAF,"33.182575,-114.63163",7250,155,2
1634924316,2021-10-22T17:38:36Z,CFAAF,"33.191116,-114.631073",7375,154,2
1634924332,2021-10-22T17:38:52Z,CFAAF,"33.201782,-114.63063",7500,154,1
1634924343,2021-10-22T17:39:03Z,CFAAF,"33.209793,-114.63047",7575,154,1
1634924356,2021-10-22T17:39:16Z,CFAAF,"33.218857,-114.630356",7700,155,1
1634924368,2021-10-22T17:39:28Z,CFAAF,"33.227592,-114.630112",7800,156,1
1634924379,2021-10-22T17:39:39Z,CFAAF,"33.23616,-114.629807",7925,155,1
1634924391,2021-10-22T17:39:51Z,CFAAF,"33.244583,-114.629669",8025,155,1
1634924406,2021-10-22T17:40:06Z,CFAAF,"33.255615,-114.629753",8150,156,359
1634924421,2021-10-22T17:40:21Z,CFAAF,"33.266785,-114.6297",8275,157,359
1634924437,2021-10-22T17:40:37Z,CFAAF,"33.278137,-114.629372",8425,157,1
1634924449,2021-10-22T17:40:49Z,CFAAF,"33.286804,-114.628883",8525,156,3
1634924467,2021-10-22T17:41:07Z,CFAAF,"33.299747,-114.627365",8700,155,6
1634924480,2021-10-22T17:41:20Z,CFAAF,"33.308395,-114.626183",8825,155,6
1634924494,2021-10-22T17:41:34Z,CFAAF,"33.319206,-114.624954",8925,158,4
1634924507,2021-10-22T17:41:47Z,CFAAF,"33.328308,-114.624313",9025,161,2
1634924518,2021-10-22T17:41:58Z,CFAAF,"33.337128,-114.623894",9075,163,1
1634924534,2021-10-22T17:42:14Z,CFAAF,"33.348721,-114.623329",9175,165,2
1634924545,2021-10-22T17:42:25Z,CFAAF,"33.35696,-114.622719",9350,161,3
1634924561,2021-10-22T17:42:41Z,CFAAF,"33.36882,-114.62146",9575,154,5
1634924573,2021-10-22T17:42:53Z,CFAAF,"33.377243,-114.619919",9725,152,14
1634924576,2021-10-22T17:42:56Z,CFAAF,"33.37912,-114.619263",9775,151,15
1634924578,2021-10-22T17:42:58Z,CFAAF,"33.380795,-114.618683",9825,150,16
1634924584,2021-10-22T17:43:04Z,CFAAF,"33.384796,-114.617226",9900,150,17
1634924588,2021-10-22T17:43:08Z,CFAAF,"33.386799,-114.61644",9950,149,17
1634924591,2021-10-22T17:43:11Z,CFAAF,"33.389053,-114.615585",10000,148,18
1634924593,2021-10-22T17:43:13Z,CFAAF,"33.390793,-114.614922",10025,148,18
1634924594,2021-10-22T17:43:14Z,CFAAF,"33.391083,-114.614815",10025,148,18
1634924596,2021-10-22T17:43:16Z,CFAAF,"33.392666,-114.614197",10050,149,17
1634924608,2021-10-22T17:43:28Z,CFAAF,"33.400719,-114.611168",10125,152,17
1634924619,2021-10-22T17:43:39Z,CFAAF,"33.408829,-114.60833",10225,156,15
1634924633,2021-10-22T17:43:53Z,CFAAF,"33.417297,-114.60498",10325,158,21
1634924643,2021-10-22T17:44:03Z,CFAAF,"33.425018,-114.6008",10275,169,25
1634924650,2021-10-22T17:44:10Z,CFAAF,"33.429813,-114.598053",10275,169,25
1634924651,2021-10-22T17:44:11Z,CFAAF,"33.430511,-114.597656",10275,169,25
1634924653,2021-10-22T17:44:13Z,CFAAF,"33.431992,-114.596794",10275,168,25
1634924654,2021-10-22T17:44:14Z,CFAAF,"33.432724,-114.596359",10275,168,25
1634924657,2021-10-22T17:44:17Z,CFAAF,"33.43483,-114.595146",10275,168,26
1634924658,2021-10-22T17:44:18Z,CFAAF,"33.435516,-114.594711",10275,168,27
1634924660,2021-10-22T17:44:20Z,CFAAF,"33.436707,-114.593887",10275,168,30
1634924663,2021-10-22T17:44:23Z,CFAAF,"33.438812,-114.592293",10300,167,32
1634924664,2021-10-22T17:44:24Z,CFAAF,"33.439636,-114.591606",10300,166,33
1634924666,2021-10-22T17:44:26Z,CFAAF,"33.440659,-114.590767",10300,165,34
1634924668,2021-10-22T17:44:28Z,CFAAF,"33.441685,-114.589928",10300,164,35
1634924669,2021-10-22T17:44:29Z,CFAAF,"33.442524,-114.589195",10300,164,35
1634924670,2021-10-22T17:44:30Z,CFAAF,"33.443405,-114.58847",10300,163,36
1634924675,2021-10-22T17:44:35Z,CFAAF,"33.446152,-114.585999",10325,161,36
1634924678,2021-10-22T17:44:38Z,CFAAF,"33.447689,-114.584602",10325,160,37
1634924681,2021-10-22T17:44:41Z,CFAAF,"33.449753,-114.582733",10325,157,37
1634924683,2021-10-22T17:44:43Z,CFAAF,"33.450668,-114.581909",10350,159,37
1634924684,2021-10-22T17:44:44Z,CFAAF,"33.451492,-114.581139",10350,155,37
1634924689,2021-10-22T17:44:49Z,CFAAF,"33.454487,-114.578377",10350,154,37
1634924690,2021-10-22T17:44:50Z,CFAAF,"33.454811,-114.578094",10350,153,37
1634924701,2021-10-22T17:45:01Z,CFAAF,"33.461288,-114.572243",10325,151,36
1634924713,2021-10-22T17:45:13Z,CFAAF,"33.467567,-114.566719",10300,148,36
1634924726,2021-10-22T17:45:26Z,CFAAF,"33.475018,-114.56044",10275,144,35
1634924738,2021-10-22T17:45:38Z,CFAAF,"33.481064,-114.555161",10250,141,37
1634924751,2021-10-22T17:45:51Z,CFAAF,"33.487427,-114.549004",10275,137,39
1634924763,2021-10-22T17:46:03Z,CFAAF,"33.493404,-114.543236",10275,130,38
1634924780,2021-10-22T17:46:20Z,CFAAF,"33.501133,-114.536003",10275,128,37
1634924791,2021-10-22T17:46:31Z,CFAAF,"33.506859,-114.530792",10250,126,36
1634924807,2021-10-22T17:46:47Z,CFAAF,"33.514168,-114.523949",10250,125,38
1634924818,2021-10-22T17:46:58Z,CFAAF,"33.518913,-114.519409",10250,123,39
1634924831,2021-10-22T17:47:11Z,CFAAF,"33.524689,-114.513863",10275,122,38
1634924843,2021-10-22T17:47:23Z,CFAAF,"33.529995,-114.509209",10275,122,34
1634924854,2021-10-22T17:47:34Z,CFAAF,"33.53595,-114.505005",10275,123,28
1634924856,2021-10-22T17:47:36Z,CFAAF,"33.536373,-114.504723",10275,123,26
1634924861,2021-10-22T17:47:41Z,CFAAF,"33.539017,-114.503189",10275,123,25
1634924863,2021-10-22T17:47:43Z,CFAAF,"33.540237,-114.502487",10300,123,25
1634924864,2021-10-22T17:47:44Z,CFAAF,"33.540802,-114.502205",10275,123,24
1634924865,2021-10-22T17:47:45Z,CFAAF,"33.541073,-114.502029",10300,123,24
1634924868,2021-10-22T17:47:48Z,CFAAF,"33.542656,-114.501228",10300,124,23
1634924869,2021-10-22T17:47:49Z,CFAAF,"33.543365,-114.500854",10300,125,23
1634924870,2021-10-22T17:47:50Z,CFAAF,"33.544189,-114.500412",10300,125,23
1634924874,2021-10-22T17:47:54Z,CFAAF,"33.545792,-114.499565",10300,126,23
1634924876,2021-10-22T17:47:56Z,CFAAF,"33.546982,-114.498955",10300,126,23
1634924889,2021-10-22T17:48:09Z,CFAAF,"33.55397,-114.495331",10300,128,23
1634924900,2021-10-22T17:48:20Z,CFAAF,"33.560486,-114.492004",10300,128,17
1634924902,2021-10-22T17:48:22Z,CFAAF,"33.56179,-114.491615",10325,127,13
1634924903,2021-10-22T17:48:23Z,CFAAF,"33.562088,-114.491493",10325,127,13
1634924915,2021-10-22T17:48:35Z,CFAAF,"33.568268,-114.489532",10325,128,15
1634924919,2021-10-22T17:48:39Z,CFAAF,"33.570694,-114.488808",10325,129,14
1634924922,2021-10-22T17:48:42Z,CFAAF,"33.572662,-114.48819",10325,129,13
1634924924,2021-10-22T17:48:44Z,CFAAF,"33.574173,-114.487793",10325,129,12
1634924928,2021-10-22T17:48:48Z,CFAAF,"33.576126,-114.487381",10325,128,8
1634924937,2021-10-22T17:48:57Z,CFAAF,"33.581482,-114.486862",10325,128,1
1634924940,2021-10-22T17:49:00Z,CFAAF,"33.583248,-114.486862",10325,128,360
1634924943,2021-10-22T17:49:03Z,CFAAF,"33.585159,-114.486923",10325,128,358
1634924945,2021-10-22T17:49:05Z,CFAAF,"33.586441,-114.486954",10325,129,358
1634924946,2021-10-22T17:49:06Z,CFAAF,"33.586975,-114.486984",10325,129,358
1634924949,2021-10-22T17:49:09Z,CFAAF,"33.588741,-114.486984",10300,129,358
1634924951,2021-10-22T17:49:11Z,CFAAF,"33.58992,-114.487015",10300,129,359
1634924952,2021-10-22T17:49:12Z,CFAAF,"33.590607,-114.487068",10300,129,358
1634924954,2021-10-22T17:49:14Z,CFAAF,"33.591705,-114.487068",10300,129,358
1634924955,2021-10-22T17:49:15Z,CFAAF,"33.592373,-114.487091",10300,129,358
1634924957,2021-10-22T17:49:17Z,CFAAF,"33.593678,-114.487152",10300,129,358
1634924968,2021-10-22T17:49:28Z,CFAAF,"33.60022,-114.487404",10300,129,358
1634924981,2021-10-22T17:49:41Z,CFAAF,"33.608295,-114.487495",10300,129,360
1634924994,2021-10-22T17:49:54Z,CFAAF,"33.615784,-114.487518",10275,129,360
1634925006,2021-10-22T17:50:06Z,CFAAF,"33.622925,-114.487572",10275,129,359
1634925017,2021-10-22T17:50:17Z,CFAAF,"33.629242,-114.487724",10275,127,358
1634925030,2021-10-22T17:50:30Z,CFAAF,"33.636932,-114.487854",10275,125,359
1634925040,2021-10-22T17:50:40Z,CFAAF,"33.642975,-114.4879",10275,125,360
1634925054,2021-10-22T17:50:54Z,CFAAF,"33.650803,-114.487854",10275,125,1
1634925063,2021-10-22T17:51:03Z,CFAAF,"33.65593,-114.488304",10300,120,345
1634925066,2021-10-22T17:51:06Z,CFAAF,"33.65736,-114.489044",10300,116,331
1634925069,2021-10-22T17:51:09Z,CFAAF,"33.658665,-114.490128",10325,113,325
1634925072,2021-10-22T17:51:12Z,CFAAF,"33.65992,-114.491211",10325,114,322
1634925074,2021-10-22T17:51:14Z,CFAAF,"33.660854,-114.492126",10325,113,322
1634925077,2021-10-22T17:51:17Z,CFAAF,"33.662064,-114.493332",10325,113,319
1634925078,2021-10-22T17:51:18Z,CFAAF,"33.66243,-114.493683",10325,114,318
1634925080,2021-10-22T17:51:20Z,CFAAF,"33.663414,-114.494766",10325,114,318
1634925084,2021-10-22T17:51:24Z,CFAAF,"33.664482,-114.495964",10325,114,317
1634925086,2021-10-22T17:51:26Z,CFAAF,"33.665741,-114.497337",10325,114,317
1634925087,2021-10-22T17:51:27Z,CFAAF,"33.665955,-114.497551",10325,115,316
1634925090,2021-10-22T17:51:30Z,CFAAF,"33.667046,-114.498825",10325,116,316
1634925093,2021-10-22T17:51:33Z,CFAAF,"33.668427,-114.500465",10325,116,315
1634925096,2021-10-22T17:51:36Z,CFAAF,"33.669571,-114.501808",10300,117,315
1634925099,2021-10-22T17:51:39Z,CFAAF,"33.670715,-114.503212",10300,117,314
1634925110,2021-10-22T17:51:50Z,CFAAF,"33.674835,-114.508308",10300,119,313
1634925123,2021-10-22T17:52:03Z,CFAAF,"33.679825,-114.514702",10300,122,314
1634925128,2021-10-22T17:52:08Z,CFAAF,"33.682034,-114.516792",10275,125,324
1634925129,2021-10-22T17:52:09Z,CFAAF,"33.682571,-114.517166",10275,127,329
1634925131,2021-10-22T17:52:11Z,CFAAF,"33.683617,-114.517761",10275,128,334
1634925134,2021-10-22T17:52:14Z,CFAAF,"33.685619,-114.518394",10275,129,338
1634925137,2021-10-22T17:52:17Z,CFAAF,"33.687153,-114.51857",10275,131,356
1634925138,2021-10-22T17:52:18Z,CFAAF,"33.687698,-114.51857",10275,131,359
1634925140,2021-10-22T17:52:20Z,CFAAF,"33.689342,-114.518341",10300,131,8
1634925143,2021-10-22T17:52:23Z,CFAAF,"33.690582,-114.518005",10300,131,12
1634925144,2021-10-22T17:52:24Z,CFAAF,"33.69136,-114.51767",10300,129,18
1634925147,2021-10-22T17:52:27Z,CFAAF,"33.693008,-114.516724",10300,128,28
1634925152,2021-10-22T17:52:32Z,CFAAF,"33.695435,-114.514313",10325,125,43
1634925156,2021-10-22T17:52:36Z,CFAAF,"33.696533,-114.512405",10325,122,55
1634925158,2021-10-22T17:52:38Z,CFAAF,"33.697037,-114.51123",10350,121,61
1634925159,2021-10-22T17:52:39Z,CFAAF,"33.697304,-114.510384",10350,119,68
1634925165,2021-10-22T17:52:45Z,CFAAF,"33.697723,-114.506516",10350,115,90
1634925170,2021-10-22T17:52:50Z,CFAAF,"33.697258,-114.503922",10350,112,102
1634925171,2021-10-22T17:52:51Z,CFAAF,"33.69693,-114.503006",10350,110,114
1634925172,2021-10-22T17:52:52Z,CFAAF,"33.696606,-114.502258",10350,110,115
1634925177,2021-10-22T17:52:57Z,CFAAF,"33.695068,-114.499969",10350,106,131
1634925183,2021-10-22T17:53:03Z,CFAAF,"33.693161,-114.497513",10350,107,132
1634925186,2021-10-22T17:53:06Z,CFAAF,"33.692093,-114.496208",10350,107,136
1634925189,2021-10-22T17:53:09Z,CFAAF,"33.690903,-114.495087",10325,107,142
1634925192,2021-10-22T17:53:12Z,CFAAF,"33.689713,-114.49424",10325,106,151
1634925198,2021-10-22T17:53:18Z,CFAAF,"33.686829,-114.493042",10325,105,167
1634925201,2021-10-22T17:53:21Z,CFAAF,"33.685318,-114.492729",10325,104,172
1634925204,2021-10-22T17:53:24Z,CFAAF,"33.684036,-114.492584",10325,105,174
1634925210,2021-10-22T17:53:30Z,CFAAF,"33.681015,-114.492226",10325,107,175
1634925216,2021-10-22T17:53:36Z,CFAAF,"33.678032,-114.491959",10325,109,175
1634925228,2021-10-22T17:53:48Z,CFAAF,"33.6717,-114.491272",10325,115,172
1634925243,2021-10-22T17:54:03Z,CFAAF,"33.66362,-114.489426",10325,120,168
1634925255,2021-10-22T17:54:15Z,CFAAF,"33.656845,-114.488243",10300,121,175
1634925268,2021-10-22T17:54:28Z,CFAAF,"33.650005,-114.4879",10300,122,179
1634925276,2021-10-22T17:54:36Z,CFAAF,"33.645073,-114.487839",10325,121,179
1634925288,2021-10-22T17:54:48Z,CFAAF,"33.638412,-114.487724",10325,122,179
1634925300,2021-10-22T17:55:00Z,CFAAF,"33.631439,-114.487625",10300,123,179
1634925310,2021-10-22T17:55:10Z,CFAAF,"33.62558,-114.487518",10300,125,179
1634925323,2021-10-22T17:55:23Z,CFAAF,"33.618713,-114.487457",10275,126,179
1634925345,2021-10-22T17:55:45Z,CFAAF,"33.606583,-114.492226",10300,121,223
1634925348,2021-10-22T17:55:48Z,CFAAF,"33.605453,-114.493561",10325,120,225
1634925357,2021-10-22T17:55:57Z,CFAAF,"33.602005,-114.49794",10350,118,227
1634925360,2021-10-22T17:56:00Z,CFAAF,"33.6008,-114.499451",10350,118,227
1634925377,2021-10-22T17:56:17Z,CFAAF,"33.594608,-114.507355",10325,119,226
1634925390,2021-10-22T17:56:30Z,CFAAF,"33.589813,-114.513474",10300,119,226
1634925398,2021-10-22T17:56:38Z,CFAAF,"33.586182,-114.516449",10300,116,204
1634925403,2021-10-22T17:56:43Z,CFAAF,"33.583435,-114.516739",10300,114,174
1634925406,2021-10-22T17:56:46Z,CFAAF,"33.581909,-114.516212",10325,114,161
1634925407,2021-10-22T17:56:47Z,CFAAF,"33.581406,-114.515938",10325,114,158
1634925421,2021-10-22T17:57:01Z,CFAAF,"33.577881,-114.508537",10325,119,90
1634925427,2021-10-22T17:57:07Z,CFAAF,"33.578751,-114.504837",10325,120,64
1634925430,2021-10-22T17:57:10Z,CFAAF,"33.579803,-114.503098",10325,121,51
1634925436,2021-10-22T17:57:16Z,CFAAF,"33.582367,-114.500084",10325,123,39
1634925439,2021-10-22T17:57:19Z,CFAAF,"33.58374,-114.498955",10300,123,33
1634925442,2021-10-22T17:57:22Z,CFAAF,"33.585159,-114.497772",10300,124,33
1634925448,2021-10-22T17:57:28Z,CFAAF,"33.588089,-114.495476",10275,127,34
1634925451,2021-10-22T17:57:31Z,CFAAF,"33.589581,-114.494186",10275,127,34
1634925454,2021-10-22T17:57:34Z,CFAAF,"33.591072,-114.492989",10275,127,34
1634925457,2021-10-22T17:57:37Z,CFAAF,"33.592422,-114.491898",10275,126,34
1634925466,2021-10-22T17:57:46Z,CFAAF,"33.597061,-114.488976",10275,122,17
1634925468,2021-10-22T17:57:48Z,CFAAF,"33.597839,-114.488747",10300,121,15
1634925469,2021-10-22T17:57:49Z,CFAAF,"33.598751,-114.488464",10300,120,13
1634925475,2021-10-22T17:57:55Z,CFAAF,"33.602058,-114.487671",10275,120,9
1634925484,2021-10-22T17:58:04Z,CFAAF,"33.606949,-114.487572",10275,118,358
1634925487,2021-10-22T17:58:07Z,CFAAF,"33.608368,-114.487625",10275,118,358
1634925490,2021-10-22T17:58:10Z,CFAAF,"33.609924,-114.487671",10275,118,357
1634925495,2021-10-22T17:58:15Z,CFAAF,"33.613174,-114.487907",10275,117,356
1634925498,2021-10-22T17:58:18Z,CFAAF,"33.613907,-114.488022",10275,117,356
1634925504,2021-10-22T17:58:24Z,CFAAF,"33.61779,-114.488129",10275,117,359
1634925516,2021-10-22T17:58:36Z,CFAAF,"33.624115,-114.488136",10275,116,360
1634925527,2021-10-22T17:58:47Z,CFAAF,"33.630314,-114.487839",10275,117,1
1634925546,2021-10-22T17:59:06Z,CFAAF,"33.640457,-114.487625",10300,123,359
1634925557,2021-10-22T17:59:17Z,CFAAF,"33.646885,-114.487839",10300,125,358
1634925567,2021-10-22T17:59:27Z,CFAAF,"33.652706,-114.488358",10325,127,352
1634925569,2021-10-22T17:59:29Z,CFAAF,"33.653732,-114.488861",10325,124,338
1634925573,2021-10-22T17:59:33Z,CFAAF,"33.655701,-114.490204",10350,123,335
1634925575,2021-10-22T17:59:35Z,CFAAF,"33.656662,-114.491043",10350,122,323
1634925578,2021-10-22T17:59:38Z,CFAAF,"33.658012,-114.492302",10350,124,322
1634925579,2021-10-22T17:59:39Z,CFAAF,"33.658676,-114.49295",10350,124,321
1634925580,2021-10-22T17:59:40Z,CFAAF,"33.659134,-114.493347",10350,125,320
1634925581,2021-10-22T17:59:41Z,CFAAF,"33.659363,-114.493622",10350,125,320
1634925583,2021-10-22T17:59:43Z,CFAAF,"33.660526,-114.494766",10350,127,319
1634925584,2021-10-22T17:59:44Z,CFAAF,"33.660736,-114.495026",10350,127,319
1634925587,2021-10-22T17:59:47Z,CFAAF,"33.662064,-114.496368",10350,129,318
1634925590,2021-10-22T17:59:50Z,CFAAF,"33.663437,-114.497887",10350,131,317
1634925593,2021-10-22T17:59:53Z,CFAAF,"33.664764,-114.499397",10350,133,316
1634925599,2021-10-22T17:59:59Z,CFAAF,"33.667416,-114.502426",10325,135,315
