Timestamp,UTC,Callsign,Position,Altitude,Speed,Direction
1627744413,2021-07-31T15:13:33Z,N169CA,"32.033619,-102.125992",3075,133,266
1627744419,2021-07-31T15:13:39Z,N169CA,"32.034119,-102.130447",3175,137,283
1627744422,2021-07-31T15:13:42Z,N169CA,"32.034851,-102.13253",3200,140,294
1627744425,2021-07-31T15:13:45Z,N169CA,"32.035858,-102.134567",3250,143,303
1627744428,2021-07-31T15:13:48Z,N169CA,"32.037064,-102.136192",3275,147,311
1627744431,2021-07-31T15:13:51Z,N169CA,"32.038879,-102.138077",3300,150,321
1627744434,2021-07-31T15:13:54Z,N169CA,"32.040619,-102.13945",3325,152,327
1627744437,2021-07-31T15:13:57Z,N169CA,"32.04245,-102.14077",3375,152,329
1627744443,2021-07-31T15:14:03Z,N169CA,"32.046066,-102.143135",3475,153,331
1627744446,2021-07-31T15:14:06Z,N169CA,"32.048141,-102.144432",3525,155,332
1627744449,2021-07-31T15:14:09Z,N169CA,"32.04982,-102.145439",3550,156,333
1627744458,2021-07-31T15:14:18Z,N169CA,"32.056103,-102.149139",3575,163,333
1627744461,2021-07-31T15:14:21Z,N169CA,"32.058105,-102.15033",3575,166,332
1627744464,2021-07-31T15:14:24Z,N169CA,"32.060165,-102.151535",3550,168,333
1627744471,2021-07-31T15:14:31Z,N169CA,"32.064438,-102.154076",3550,170,333
1627744477,2021-07-31T15:14:37Z,N169CA,"32.068771,-102.156647",3550,171,333
1627744482,2021-07-31T15:14:42Z,N169CA,"32.073002,-102.159119",3575,173,333
1627744488,2021-07-31T15:14:48Z,N169CA,"32.07719,-102.161697",3550,175,331
1627744495,2021-07-31T15:14:55Z,N169CA,"32.081635,-102.164833",3550,177,327
1627744498,2021-07-31T15:14:58Z,N169CA,"32.083649,-102.166481",3550,178,324
1627744501,2021-07-31T15:15:01Z,N169CA,"32.085712,-102.168312",3550,179,321
1627744504,2021-07-31T15:15:04Z,N169CA,"32.087479,-102.170052",3525,178,319
1627744507,2021-07-31T15:15:07Z,N169CA,"32.089462,-102.172028",3525,179,319
1627744510,2021-07-31T15:15:10Z,N169CA,"32.091339,-102.17395",3525,179,318
1627744512,2021-07-31T15:15:12Z,N169CA,"32.093079,-102.175819",3525,180,317
1627744522,2021-07-31T15:15:22Z,N169CA,"32.09848,-102.182243",3525,179,312
1627744528,2021-07-31T15:15:28Z,N169CA,"32.10173,-102.186752",3525,180,309
1627744534,2021-07-31T15:15:34Z,N169CA,"32.104935,-102.191475",3550,178,307
1627744537,2021-07-31T15:15:37Z,N169CA,"32.106445,-102.193779",3550,179,307
1627744540,2021-07-31T15:15:40Z,N169CA,"32.107956,-102.196144",3550,179,306
1627744546,2021-07-31T15:15:46Z,N169CA,"32.110931,-102.20092",3550,182,305
1627744552,2021-07-31T15:15:52Z,N169CA,"32.11377,-102.205704",3475,183,304
1627744558,2021-07-31T15:15:58Z,N169CA,"32.116669,-102.210686",3500,182,304
1627744564,2021-07-31T15:16:04Z,N169CA,"32.119648,-102.21579",3525,180,304
1627744573,2021-07-31T15:16:13Z,N169CA,"32.123749,-102.223007",3550,178,303
1627744579,2021-07-31T15:16:19Z,N169CA,"32.12635,-102.22773",3650,171,302
1627744585,2021-07-31T15:16:25Z,N169CA,"32.12891,-102.232323",3775,164,303
1627744594,2021-07-31T15:16:34Z,N169CA,"32.132813,-102.238663",3975,160,307
1627744597,2021-07-31T15:16:37Z,N169CA,"32.134312,-102.240898",4025,159,308
1627744603,2021-07-31T15:16:43Z,N169CA,"32.137115,-102.24498",4150,157,309
1627744609,2021-07-31T15:16:49Z,N169CA,"32.139862,-102.248985",4250,156,308
1627744612,2021-07-31T15:16:52Z,N169CA,"32.14106,-102.250824",4300,156,307
1627744618,2021-07-31T15:16:58Z,N169CA,"32.143669,-102.25486",4375,157,306
1627744624,2021-07-31T15:17:04Z,N169CA,"32.146416,-102.259171",4450,159,307
1627744630,2021-07-31T15:17:10Z,N169CA,"32.149155,-102.263435",4525,161,306
1627744639,2021-07-31T15:17:19Z,N169CA,"32.153046,-102.269913",4650,161,304
1627744645,2021-07-31T15:17:25Z,N169CA,"32.155563,-102.274254",4750,161,304
1627744651,2021-07-31T15:17:31Z,N169CA,"32.1581,-102.278679",4850,161,303
1627744657,2021-07-31T15:17:37Z,N169CA,"32.160645,-102.28299",4925,162,304
1627744663,2021-07-31T15:17:43Z,N169CA,"32.163128,-102.287308",5000,163,304
1627744675,2021-07-31T15:17:55Z,N169CA,"32.168247,-102.296394",5175,164,302
1627744685,2021-07-31T15:18:05Z,N169CA,"32.172592,-102.304466",5350,162,301
1627744701,2021-07-31T15:18:21Z,N169CA,"32.178406,-102.316551",5625,159,298
1627744713,2021-07-31T15:18:33Z,N169CA,"32.182571,-102.325615",5900,150,298
1627744725,2021-07-31T15:18:45Z,N169CA,"32.186264,-102.334282",6125,149,294
1627744738,2021-07-31T15:18:58Z,N169CA,"32.189568,-102.342918",6325,148,300
1627744743,2021-07-31T15:19:03Z,N169CA,"32.191635,-102.346214",6425,147,310
1627744750,2021-07-31T15:19:10Z,N169CA,"32.195343,-102.35009",6550,146,324
1627744759,2021-07-31T15:19:19Z,N169CA,"32.200974,-102.353226",6700,146,340
1627744762,2021-07-31T15:19:22Z,N169CA,"32.202988,-102.353798",6725,145,348
1627744768,2021-07-31T15:19:28Z,N169CA,"32.206512,-102.353905",6825,143,3
1627744771,2021-07-31T15:19:31Z,N169CA,"32.208801,-102.353409",6900,140,13
1627744773,2021-07-31T15:19:33Z,N169CA,"32.210632,-102.352646",6950,140,21
1627744776,2021-07-31T15:19:36Z,N169CA,"32.212326,-102.351547",7000,139,30
1627744780,2021-07-31T15:19:40Z,N169CA,"32.213882,-102.350174",7050,139,39
1627744786,2021-07-31T15:19:46Z,N169CA,"32.216476,-102.346558",7150,138,55
1627744789,2021-07-31T15:19:49Z,N169CA,"32.217316,-102.344734",7175,137,62
1627744792,2021-07-31T15:19:52Z,N169CA,"32.21806,-102.342751",7225,137,69
1627744794,2021-07-31T15:19:54Z,N169CA,"32.218597,-102.34034",7275,138,77
1627744798,2021-07-31T15:19:58Z,N169CA,"32.218781,-102.338524",7300,138,83
1627744801,2021-07-31T15:20:01Z,N169CA,"32.218758,-102.335739",7375,138,93
1627744804,2021-07-31T15:20:04Z,N169CA,"32.218506,-102.33358",7425,138,100
1627744806,2021-07-31T15:20:06Z,N169CA,"32.218231,-102.332428",7450,138,104
1627744813,2021-07-31T15:20:13Z,N169CA,"32.216309,-102.327377",7600,137,121
1627744815,2021-07-31T15:20:15Z,N169CA,"32.215302,-102.325668",7650,137,126
1627744819,2021-07-31T15:20:19Z,N169CA,"32.214008,-102.32386",7675,138,130
1627744823,2021-07-31T15:20:23Z,N169CA,"32.212658,-102.322235",7725,139,135
1627744828,2021-07-31T15:20:28Z,N169CA,"32.210331,-102.319824",7800,139,139
1627744845,2021-07-31T15:20:45Z,N169CA,"32.199966,-102.311501",8125,139,149
1627744849,2021-07-31T15:20:49Z,N169CA,"32.198273,-102.310349",8150,141,149
1627744852,2021-07-31T15:20:52Z,N169CA,"32.196831,-102.309341",8175,141,149
1627744864,2021-07-31T15:21:04Z,N169CA,"32.189663,-102.304741",8375,140,152
1627744875,2021-07-31T15:21:15Z,N169CA,"32.182526,-102.30117",8625,137,159
1627744878,2021-07-31T15:21:18Z,N169CA,"32.180725,-102.300484",8675,138,161
1627744883,2021-07-31T15:21:23Z,N169CA,"32.179047,-102.299812",8700,137,161
1627744894,2021-07-31T15:21:34Z,N169CA,"32.171631,-102.29689",8900,137,162
1627744909,2021-07-31T15:21:49Z,N169CA,"32.16275,-102.293594",9150,135,163
1627744923,2021-07-31T15:22:03Z,N169CA,"32.153412,-102.290077",9350,137,159
1627744939,2021-07-31T15:22:19Z,N169CA,"32.144787,-102.285797",9550,136,158
1627744951,2021-07-31T15:22:31Z,N169CA,"32.137802,-102.282768",9750,137,161
1627744964,2021-07-31T15:22:44Z,N169CA,"32.130753,-102.280136",9875,139,162
1627744975,2021-07-31T15:22:55Z,N169CA,"32.122787,-102.277275",10075,137,163
1627744988,2021-07-31T15:23:08Z,N169CA,"32.115601,-102.274696",10250,137,163
1627745000,2021-07-31T15:23:20Z,N169CA,"32.107773,-102.272385",10375,141,166
1627745005,2021-07-31T15:23:25Z,N169CA,"32.104156,-102.271835",10450,142,175
1627745013,2021-07-31T15:23:33Z,N169CA,"32.09816,-102.273155",10575,143,177
1627745018,2021-07-31T15:23:38Z,N169CA,"32.096325,-102.274254",10625,144,209
1627745023,2021-07-31T15:23:43Z,N169CA,"32.093857,-102.276436",10675,145,220
1627745026,2021-07-31T15:23:46Z,N169CA,"32.091797,-102.279037",10725,146,229
1627745029,2021-07-31T15:23:49Z,N169CA,"32.090561,-102.28096",10775,145,233
1627745035,2021-07-31T15:23:55Z,N169CA,"32.088177,-102.284904",10875,145,236
1627745038,2021-07-31T15:23:58Z,N169CA,"32.087585,-102.286011",10900,145,236
1627745041,2021-07-31T15:24:01Z,N169CA,"32.086029,-102.288811",10950,145,237
1627745044,2021-07-31T15:24:04Z,N169CA,"32.084885,-102.290955",11000,145,237
1627745048,2021-07-31T15:24:08Z,N169CA,"32.083942,-102.29258",11025,145,236
1627745051,2021-07-31T15:24:11Z,N169CA,"32.082684,-102.294876",11075,146,235
1627745063,2021-07-31T15:24:23Z,N169CA,"32.077835,-102.302048",11200,147,228
1627745074,2021-07-31T15:24:34Z,N169CA,"32.072433,-102.309853",11375,146,233
1627745090,2021-07-31T15:24:50Z,N169CA,"32.066574,-102.319626",11575,145,233
1627745108,2021-07-31T15:25:08Z,N169CA,"32.056686,-102.328201",11750,149,210
1627745111,2021-07-31T15:25:11Z,N169CA,"32.054848,-102.32946",11775,148,211
1627745113,2021-07-31T15:25:13Z,N169CA,"32.053299,-102.330612",11825,147,212
1627745125,2021-07-31T15:25:25Z,N169CA,"32.046234,-102.3358",11950,149,210
1627745137,2021-07-31T15:25:37Z,N169CA,"32.038834,-102.340446",12100,148,207
1627745155,2021-07-31T15:25:55Z,N169CA,"32.027023,-102.346489",12050,158,190
1627745159,2021-07-31T15:25:59Z,N169CA,"32.024963,-102.346603",12025,159,180
1627745164,2021-07-31T15:26:04Z,N169CA,"32.020771,-102.345329",12025,159,156
1627745169,2021-07-31T15:26:09Z,N169CA,"32.018097,-102.343033",12025,157,137
1627745190,2021-07-31T15:26:30Z,N169CA,"32.017094,-102.32756",12100,148,57
1627745204,2021-07-31T15:26:44Z,N169CA,"32.024124,-102.318977",12100,153,35
1627745210,2021-07-31T15:26:50Z,N169CA,"32.02766,-102.316574",12100,153,30
1627745213,2021-07-31T15:26:53Z,N169CA,"32.0298,-102.31517",12100,153,28
1627745219,2021-07-31T15:26:59Z,N169CA,"32.03334,-102.312759",12100,156,30
1627745255,2021-07-31T15:27:35Z,N169CA,"32.056709,-102.298462",12125,157,27
1627745285,2021-07-31T15:28:05Z,N169CA,"32.076447,-102.286301",12075,162,12
1627745288,2021-07-31T15:28:08Z,N169CA,"32.078682,-102.286018",12075,161,3
1627745295,2021-07-31T15:28:15Z,N169CA,"32.083191,-102.286667",12075,161,347
1627745297,2021-07-31T15:28:17Z,N169CA,"32.085247,-102.287476",12075,160,338
1627745300,2021-07-31T15:28:20Z,N169CA,"32.087311,-102.288704",12075,160,330
1627745304,2021-07-31T15:28:24Z,N169CA,"32.089249,-102.290504",12075,160,320
1627745306,2021-07-31T15:28:26Z,N169CA,"32.090599,-102.292297",12075,160,308
1627745310,2021-07-31T15:28:30Z,N169CA,"32.091751,-102.294632",12100,159,297
1627745312,2021-07-31T15:28:32Z,N169CA,"32.092529,-102.297218",12125,158,286
1627745315,2021-07-31T15:28:35Z,N169CA,"32.09285,-102.299576",12125,157,276
1627745319,2021-07-31T15:28:39Z,N169CA,"32.092789,-102.302109",12125,158,264
1627745324,2021-07-31T15:28:44Z,N169CA,"32.091248,-102.307106",12075,162,241
1627745327,2021-07-31T15:28:47Z,N169CA,"32.089809,-102.309174",12075,161,227
1627745330,2021-07-31T15:28:50Z,N169CA,"32.088089,-102.310783",12075,160,217
1627745333,2021-07-31T15:28:53Z,N169CA,"32.085896,-102.31192",12100,159,199
1627745339,2021-07-31T15:28:59Z,N169CA,"32.081802,-102.312424",12100,160,177
1627745342,2021-07-31T15:29:02Z,N169CA,"32.079567,-102.312088",12075,159,171
1627745345,2021-07-31T15:29:05Z,N169CA,"32.077148,-102.311554",12075,161,168
1627745349,2021-07-31T15:29:09Z,N169CA,"32.074814,-102.311005",12075,161,168
1627745354,2021-07-31T15:29:14Z,N169CA,"32.070675,-102.309898",12075,161,167
1627745357,2021-07-31T15:29:17Z,N169CA,"32.068542,-102.309189",12075,161,162
1627745364,2021-07-31T15:29:24Z,N169CA,"32.064194,-102.306885",12075,161,154
1627745369,2021-07-31T15:29:29Z,N169CA,"32.060806,-102.305016",12075,160,155
1627745376,2021-07-31T15:29:36Z,N169CA,"32.056046,-102.302544",12100,162,155
1627745378,2021-07-31T15:29:38Z,N169CA,"32.054123,-102.301498",12075,162,154
1627745380,2021-07-31T15:29:40Z,N169CA,"32.052521,-102.300568",12075,162,154
1627745383,2021-07-31T15:29:43Z,N169CA,"32.050705,-102.299477",12075,161,152
1627745413,2021-07-31T15:30:13Z,N169CA,"32.029816,-102.289528",12100,163,176
1627745420,2021-07-31T15:30:20Z,N169CA,"32.024494,-102.290672",12075,166,197
1627745424,2021-07-31T15:30:24Z,N169CA,"32.022774,-102.291573",12075,167,205
1627745427,2021-07-31T15:30:27Z,N169CA,"32.020817,-102.29303",12050,167,214
1627745428,2021-07-31T15:30:28Z,N169CA,"32.020157,-102.293648",12050,168,215
1627745443,2021-07-31T15:30:43Z,N169CA,"32.015533,-102.304855",12075,165,266
1627745448,2021-07-31T15:30:48Z,N169CA,"32.016582,-102.309448",12025,165,293
1627745451,2021-07-31T15:30:51Z,N169CA,"32.018398,-102.312309",12025,164,313
1627745458,2021-07-31T15:30:58Z,N169CA,"32.022354,-102.314903",12025,159,340
1627745463,2021-07-31T15:31:03Z,N169CA,"32.026703,-102.315125",12050,157,7
1627745465,2021-07-31T15:31:05Z,N169CA,"32.02887,-102.314331",12000,159,19
1627745469,2021-07-31T15:31:09Z,N169CA,"32.030869,-102.313309",11975,160,25
1627745473,2021-07-31T15:31:13Z,N169CA,"32.032837,-102.312157",11975,158,25
1627745474,2021-07-31T15:31:14Z,N169CA,"32.034164,-102.311447",12025,157,24
1627745478,2021-07-31T15:31:18Z,N169CA,"32.035992,-102.310631",12050,155,21
1627745481,2021-07-31T15:31:21Z,N169CA,"32.038834,-102.309303",12075,153,23
1627745483,2021-07-31T15:31:23Z,N169CA,"32.040756,-102.308205",12100,152,27
1627745493,2021-07-31T15:31:33Z,N169CA,"32.045517,-102.305183",12075,154,28
1627745529,2021-07-31T15:32:09Z,N169CA,"32.069595,-102.290405",12100,157,23
1627745532,2021-07-31T15:32:12Z,N169CA,"32.071606,-102.289719",12100,157,13
1627745535,2021-07-31T15:32:15Z,N169CA,"32.073933,-102.289444",12100,157,3
1627745538,2021-07-31T15:32:18Z,N169CA,"32.076122,-102.289612",12100,158,352
1627745544,2021-07-31T15:32:24Z,N169CA,"32.08017,-102.291176",12100,160,336
1627745550,2021-07-31T15:32:30Z,N169CA,"32.084061,-102.294304",12075,160,318
1627745553,2021-07-31T15:32:33Z,N169CA,"32.08543,-102.296227",12075,161,307
1627745559,2021-07-31T15:32:39Z,N169CA,"32.087036,-102.30101",12075,160,282
1627745567,2021-07-31T15:32:47Z,N169CA,"32.085663,-102.308533",12075,159,240
1627745577,2021-07-31T15:32:57Z,N169CA,"32.080265,-102.313095",12100,156,198
1627745583,2021-07-31T15:33:03Z,N169CA,"32.075867,-102.313255",12075,158,172
1627745588,2021-07-31T15:33:08Z,N169CA,"32.072662,-102.311935",12075,158,155
1627745593,2021-07-31T15:33:13Z,N169CA,"32.069275,-102.310013",12075,158,155
1627745599,2021-07-31T15:33:19Z,N169CA,"32.06588,-102.308105",12075,158,155
1627745604,2021-07-31T15:33:24Z,N169CA,"32.06197,-102.305862",12100,157,154
1627745607,2021-07-31T15:33:27Z,N169CA,"32.059875,-102.304634",12100,157,152
1627745607,2021-07-31T15:33:27Z,N169CA,"32.060165,-102.304794",12100,158,152
1627745613,2021-07-31T15:33:33Z,N169CA,"32.056198,-102.302498",12100,157,154
1627745634,2021-07-31T15:33:54Z,N169CA,"32.042137,-102.294655",12125,158,154
1627745661,2021-07-31T15:34:21Z,N169CA,"32.023331,-102.294434",12100,164,216
1627745667,2021-07-31T15:34:27Z,N169CA,"32.020538,-102.298462",12075,166,233
1627745670,2021-07-31T15:34:30Z,N169CA,"32.019794,-102.300652",12075,165,251
1627745674,2021-07-31T15:34:34Z,N169CA,"32.019424,-102.303917",12075,163,266
1627745676,2021-07-31T15:34:36Z,N169CA,"32.019653,-102.306503",12075,162,279
1627745680,2021-07-31T15:34:40Z,N169CA,"32.020477,-102.309135",12100,160,294
1627745683,2021-07-31T15:34:43Z,N169CA,"32.021576,-102.311005",12100,160,304
1627745685,2021-07-31T15:34:45Z,N169CA,"32.023285,-102.312813",12075,160,321
1627745689,2021-07-31T15:34:49Z,N169CA,"32.025238,-102.313995",12075,157,336
1627745692,2021-07-31T15:34:52Z,N169CA,"32.02766,-102.314552",12075,155,353
1627745695,2021-07-31T15:34:55Z,N169CA,"32.0298,-102.314217",12100,155,10
1627745699,2021-07-31T15:34:59Z,N169CA,"32.030823,-102.313858",12075,155,18
1627745704,2021-07-31T15:35:04Z,N169CA,"32.035492,-102.311058",12025,158,27
1627745707,2021-07-31T15:35:07Z,N169CA,"32.037296,-102.310013",12050,155,25
1627745713,2021-07-31T15:35:13Z,N169CA,"32.041348,-102.307716",12125,152,26
1627745715,2021-07-31T15:35:15Z,N169CA,"32.043118,-102.306648",12125,152,26
1627745719,2021-07-31T15:35:19Z,N169CA,"32.045116,-102.305473",12150,150,26
1627745722,2021-07-31T15:35:22Z,N169CA,"32.04689,-102.304413",12175,150,26
1627745757,2021-07-31T15:35:57Z,N169CA,"32.06987,-102.290131",12175,155,30
1627745766,2021-07-31T15:36:06Z,N169CA,"32.075562,-102.287476",12125,157,10
1627745769,2021-07-31T15:36:09Z,N169CA,"32.078075,-102.287476",12125,157,355
1627745773,2021-07-31T15:36:13Z,N169CA,"32.079891,-102.287926",12125,157,345
1627745776,2021-07-31T15:36:16Z,N169CA,"32.082092,-102.289139",12100,157,333
1627745779,2021-07-31T15:36:19Z,N169CA,"32.083847,-102.29084",12100,158,316
1627745781,2021-07-31T15:36:21Z,N169CA,"32.085152,-102.292915",12100,158,303
1627745786,2021-07-31T15:36:26Z,N169CA,"32.086029,-102.29557",12100,158,287
1627745788,2021-07-31T15:36:28Z,N169CA,"32.086361,-102.298187",12075,158,274
1627745792,2021-07-31T15:36:32Z,N169CA,"32.086082,-102.300766",12075,158,259
1627745797,2021-07-31T15:36:37Z,N169CA,"32.084221,-102.305023",12075,158,233
1627745800,2021-07-31T15:36:40Z,N169CA,"32.082451,-102.306877",12075,158,218
1627745806,2021-07-31T15:36:46Z,N169CA,"32.078449,-102.308945",12050,159,194
1627745809,2021-07-31T15:36:49Z,N169CA,"32.076187,-102.30925",12050,158,185
1627745814,2021-07-31T15:36:54Z,N169CA,"32.07198,-102.30928",12075,159,177
1627745818,2021-07-31T15:36:58Z,N169CA,"32.06979,-102.308891",12075,160,168
1627745821,2021-07-31T15:37:01Z,N169CA,"32.067368,-102.307991",12050,161,161
1627745825,2021-07-31T15:37:05Z,N169CA,"32.065338,-102.307053",12025,162,158
1627745827,2021-07-31T15:37:07Z,N169CA,"32.063141,-102.305893",12025,162,156
1627745830,2021-07-31T15:37:10Z,N169CA,"32.061272,-102.304909",12025,161,155
1627745834,2021-07-31T15:37:14Z,N169CA,"32.059128,-102.303734",12025,160,155
1627745836,2021-07-31T15:37:16Z,N169CA,"32.057281,-102.302765",12050,160,155
1627745839,2021-07-31T15:37:19Z,N169CA,"32.054993,-102.301559",12075,159,155
1627745843,2021-07-31T15:37:23Z,N169CA,"32.052979,-102.300461",12075,158,155
1627745846,2021-07-31T15:37:26Z,N169CA,"32.051029,-102.299416",12075,159,156
1627745848,2021-07-31T15:37:28Z,N169CA,"32.049042,-102.298424",12075,160,155
1627745878,2021-07-31T15:37:58Z,N169CA,"32.028168,-102.288101",12050,162,163
1627745881,2021-07-31T15:38:01Z,N169CA,"32.02589,-102.28759",12075,161,170
1627745883,2021-07-31T15:38:03Z,N169CA,"32.02478,-102.287437",12075,160,174
1627745885,2021-07-31T15:38:05Z,N169CA,"32.023315,-102.287437",12100,160,179
1627745890,2021-07-31T15:38:10Z,N169CA,"32.019329,-102.288544",12100,160,199
1627745894,2021-07-31T15:38:14Z,N169CA,"32.01741,-102.289749",12100,161,207
1627745896,2021-07-31T15:38:16Z,N169CA,"32.016209,-102.290901",12100,161,217
1627745951,2021-07-31T15:39:11Z,N169CA,"32.03804,-102.309959",12050,155,27
1627745990,2021-07-31T15:39:50Z,N169CA,"32.063599,-102.29425",12025,160,26
1627746008,2021-07-31T15:40:08Z,N169CA,"32.075935,-102.286972",12050,159,18
1627746011,2021-07-31T15:40:11Z,N169CA,"32.077797,-102.28653",12050,159,9
1627746017,2021-07-31T15:40:17Z,N169CA,"32.08255,-102.287163",12025,161,344
1627746020,2021-07-31T15:40:20Z,N169CA,"32.084549,-102.288208",12000,160,333
1627746023,2021-07-31T15:40:23Z,N169CA,"32.086304,-102.289635",12000,159,322
1627746026,2021-07-31T15:40:26Z,N169CA,"32.087769,-102.291336",12025,159,313
1627746031,2021-07-31T15:40:31Z,N169CA,"32.08992,-102.295792",12050,157,292
1627746035,2021-07-31T15:40:35Z,N169CA,"32.090469,-102.298477",12050,158,280
1627746038,2021-07-31T15:40:38Z,N169CA,"32.090553,-102.300987",12025,160,270
1627746041,2021-07-31T15:40:41Z,N169CA,"32.090195,-102.303864",12025,160,258
1627746044,2021-07-31T15:40:44Z,N169CA,"32.089417,-102.306335",12000,161,247
1627746047,2021-07-31T15:40:47Z,N169CA,"32.088272,-102.30864",12000,162,237
1627746054,2021-07-31T15:40:54Z,N169CA,"32.084873,-102.312141",12000,161,212
1627746056,2021-07-31T15:40:56Z,N169CA,"32.082825,-102.313148",12000,161,198
1627746059,2021-07-31T15:40:59Z,N169CA,"32.080589,-102.313545",12000,160,185
1627746062,2021-07-31T15:41:02Z,N169CA,"32.078354,-102.313316",11975,162,173
1627746065,2021-07-31T15:41:05Z,N169CA,"32.076096,-102.312599",11950,162,162
1627746069,2021-07-31T15:41:09Z,N169CA,"32.073944,-102.311661",11950,164,159
1627746071,2021-07-31T15:41:11Z,N169CA,"32.072113,-102.310898",11925,163,160
1627746077,2021-07-31T15:41:17Z,N169CA,"32.067741,-102.308891",12000,158,156
1627746081,2021-07-31T15:41:21Z,N169CA,"32.065739,-102.30777",12025,157,154
1627746084,2021-07-31T15:41:24Z,N169CA,"32.06369,-102.30661",12025,156,153
1627746086,2021-07-31T15:41:26Z,N169CA,"32.061722,-102.305511",12025,157,154
1627746092,2021-07-31T15:41:32Z,N169CA,"32.057739,-102.303314",12025,159,155
1627746131,2021-07-31T15:42:11Z,N169CA,"32.031013,-102.289551",12075,159,162
1627746135,2021-07-31T15:42:15Z,N169CA,"32.02887,-102.289047",12075,159,170
1627746138,2021-07-31T15:42:18Z,N169CA,"32.026775,-102.28894",12075,159,178
1627746139,2021-07-31T15:42:19Z,N169CA,"32.025612,-102.288994",12075,159,183
1627746143,2021-07-31T15:42:23Z,N169CA,"32.022167,-102.290001",12100,159,198
1627746147,2021-07-31T15:42:27Z,N169CA,"32.020248,-102.291061",12100,160,208
1627746161,2021-07-31T15:42:41Z,N169CA,"32.014717,-102.301437",12100,159,262
1627746164,2021-07-31T15:42:44Z,N169CA,"32.014812,-102.304352",12100,157,275
1627746168,2021-07-31T15:42:48Z,N169CA,"32.015511,-102.307152",12100,157,290
1627746171,2021-07-31T15:42:51Z,N169CA,"32.016487,-102.30928",12100,158,301
1627746177,2021-07-31T15:42:57Z,N169CA,"32.019699,-102.313148",12075,157,321
1627746179,2021-07-31T15:42:59Z,N169CA,"32.021439,-102.314301",12075,155,330
1627746182,2021-07-31T15:43:02Z,N169CA,"32.023315,-102.315125",12075,153,341
1627746185,2021-07-31T15:43:05Z,N169CA,"32.025471,-102.315506",12100,152,354
1627746189,2021-07-31T15:43:09Z,N169CA,"32.027664,-102.315399",12100,152,5
1627746191,2021-07-31T15:43:11Z,N169CA,"32.029663,-102.314774",12100,153,17
1627746195,2021-07-31T15:43:15Z,N169CA,"32.031784,-102.313583",12050,153,27
1627746201,2021-07-31T15:43:21Z,N169CA,"32.035583,-102.311226",12050,156,27
1627746204,2021-07-31T15:43:24Z,N169CA,"32.036591,-102.310562",12050,155,28
1627746207,2021-07-31T15:43:27Z,N169CA,"32.039436,-102.308777",12050,155,28
1627746213,2021-07-31T15:43:33Z,N169CA,"32.043396,-102.306259",12050,154,27
1627746216,2021-07-31T15:43:36Z,N169CA,"32.045242,-102.30513",12050,154,27
1627746219,2021-07-31T15:43:39Z,N169CA,"32.04689,-102.304138",12075,154,27
1627746223,2021-07-31T15:43:43Z,N169CA,"32.049042,-102.302818",12075,154,27
1627746252,2021-07-31T15:44:12Z,N169CA,"32.068405,-102.29068",12100,157,29
1627746261,2021-07-31T15:44:21Z,N169CA,"32.074261,-102.287422",12125,156,17
1627746264,2021-07-31T15:44:24Z,N169CA,"32.076508,-102.287003",12125,157,6
1627746268,2021-07-31T15:44:28Z,N169CA,"32.078796,-102.287109",12125,157,354
1627746271,2021-07-31T15:44:31Z,N169CA,"32.081009,-102.287926",12100,158,340
1627746273,2021-07-31T15:44:33Z,N169CA,"32.082733,-102.289032",12075,159,330
1627746277,2021-07-31T15:44:37Z,N169CA,"32.084381,-102.290848",12075,159,314
1627746280,2021-07-31T15:44:40Z,N169CA,"32.085663,-102.29303",12075,159,302
1627746286,2021-07-31T15:44:46Z,N169CA,"32.086945,-102.297874",12100,158,277
1627746289,2021-07-31T15:44:49Z,N169CA,"32.086853,-102.300461",12125,158,265
1627746291,2021-07-31T15:44:51Z,N169CA,"32.086349,-102.302933",12125,158,253
1627746295,2021-07-31T15:44:55Z,N169CA,"32.085293,-102.305527",12125,159,239
1627746297,2021-07-31T15:44:57Z,N169CA,"32.083923,-102.307487",12100,160,228
1627746301,2021-07-31T15:45:01Z,N169CA,"32.082405,-102.309059",12075,162,218
1627746304,2021-07-31T15:45:04Z,N169CA,"32.080353,-102.310349",12075,161,207
1627746306,2021-07-31T15:45:06Z,N169CA,"32.077881,-102.311111",12075,161,191
1627746309,2021-07-31T15:45:09Z,N169CA,"32.07589,-102.311249",12075,161,181
